Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
2009,11.06,11258,Petrol,Individual,Manual,0,7.57
2003,4.9,9898,Diesel,Dealer,Manual,0,0.5
2021,24.83,131662,Petrol,Individual,Manual,0,21.84
2017,10.31,182680,Diesel,Dealer,Manual,0,5.65
2011,29.32,108478,Diesel,Individual,Automatic,0,24.64
2001,21.67,30169,Diesel,Dealer,Automatic,0,16.22
2009,6.86,40353,Petrol,Individual,Manual,0,2.89
2003,15.33,156024,Petrol,Dealer,Manual,0,8.22
2013,15.07,74145,Petrol,Dealer,Manual,0,11.37
2015,15.79,70848,Petrol,Individual,Manual,0,12.56
2014,17.0,110680,Petrol,Individual,Manual,0,12.91
2007,2.87,57343,Petrol,Individual,Automatic,1,0.5
2013,21.22,82021,Petrol,Dealer,Manual,0,17.39
2022,15.64,121655,Petrol,Individual,Manual,0,13.02
2024,24.15,103286,Petrol,Individual,Manual,0,22.24
2007,24.83,143280,Petrol,Individual,Manual,0,18.75
2020,8.45,182819,Petrol,Individual,Manual,1,4.41
2015,3.36,158588,Diesel,Individual,Manual,0,0.5
2012,21.69,100634,Diesel,Individual,Manual,0,17.35
2017,29.38,64392,Diesel,Individual,Manual,0,26.67
2014,14.51,105095,Diesel,Individual,Manual,0,10.51
2020,9.27,33705,Diesel,Dealer,Manual,0,7.68
2023,6.39,18157,Diesel,Dealer,Manual,0,5.68
2024,10.05,97584,Petrol,Individual,Automatic,0,8.24
2012,11.18,94943,Diesel,Dealer,Manual,0,6.93
2008,13.87,182918,Petrol,Dealer,Automatic,0,7.35
2014,20.35,22993,Diesel,Dealer,Manual,0,17.7
2012,9.65,42379,Petrol,Individual,Manual,1,6.27
2000,3.43,135445,Diesel,Individual,Automatic,0,0.5
2024,12.45,18332,Petrol,Individual,Manual,0,11.94
2006,25.96,18119,Petrol,Dealer,Automatic,0,21.74
2008,15.95,151277,Petrol,Dealer,Automatic,0,9.95
2023,29.01,48251,Petrol,Dealer,Manual,0,27.8
2000,16.1,63978,Petrol,Individual,Manual,2,9.88
2011,9.73,151896,Petrol,Dealer,Manual,0,4.34
2007,7.41,144295,Diesel,Individual,Manual,1,1.32
2023,21.45,138704,Diesel,Individual,Automatic,0,18.75
2010,17.02,56614,Petrol,Individual,Automatic,0,12.99
2018,18.91,142448,Petrol,Individual,Automatic,0,15.12
2016,23.14,110649,Petrol,Individual,Automatic,1,19.46
2007,22.33,28042,Diesel,Dealer,Automatic,0,18.15
2002,3.21,37871,Petrol,Dealer,Manual,0,0.5
2002,24.47,142250,Petrol,Dealer,Manual,0,17.38
2000,16.92,44221,Diesel,Individual,Manual,0,11.03
2004,12.97,65245,Diesel,Individual,Manual,0,7.56
2009,17.05,53239,Petrol,Individual,Automatic,2,12.87
2006,19.15,126593,Petrol,Dealer,Manual,1,13.14
2008,6.19,134875,Petrol,Individual,Automatic,0,0.5
2006,13.69,118764,Petrol,Individual,Automatic,0,7.81
2008,11.4,31009,Petrol,Individual,Manual,0,7.38
2007,11.81,99802,Diesel,Dealer,Automatic,0,6.45
2011,4.56,57445,Diesel,Individual,Automatic,0,0.72
2001,6.48,149027,Diesel,Individual,Manual,0,0.5
2000,6.53,134634,Petrol,Individual,Manual,0,0.5
2015,12.45,86660,Diesel,Individual,Automatic,0,8.96
2022,27.05,176745,Petrol,Dealer,Manual,0,23.52
2022,7.77,191607,Diesel,Dealer,Manual,0,3.99
2023,13.65,87298,Diesel,Dealer,Manual,0,11.8
2004,10.73,91258,Diesel,Individual,Automatic,0,4.89
2002,24.05,48487,Petrol,Dealer,Manual,0,18.5
2011,3.4,74456,Petrol,Dealer,Manual,1,0.5
2007,7.5,114911,Diesel,Dealer,Manual,2,1.89
2021,7.9,22099,Petrol,Dealer,Manual,0,6.71
2002,29.8,149395,Diesel,Dealer,Manual,1,22.59
2000,17.98,139713,Diesel,Individual,Automatic,0,10.52
2002,5.89,159406,Petrol,Dealer,Manual,0,0.5
2004,9.62,26253,Petrol,Individual,Manual,0,4.85
2014,6.7,124471,Petrol,Individual,Manual,0,2.38
2013,5.49,98191,Petrol,Dealer,Manual,0,1.4
2002,24.32,62413,Petrol,Individual,Automatic,0,18.54
2000,15.88,162021,Petrol,Dealer,Automatic,2,8.05
2004,19.67,76740,Petrol,Dealer,Manual,0,14.07
2022,11.28,158560,Petrol,Dealer,Manual,0,8.05
2013,17.5,40119,Petrol,Dealer,Manual,0,14.36
2006,9.21,47861,Diesel,Individual,Manual,0,4.5
2008,10.63,171506,Diesel,Individual,Automatic,0,4.29
2014,20.26,43263,Petrol,Individual,Manual,0,17.28
2014,6.21,76963,Diesel,Individual,Automatic,1,2.67
2009,19.28,20672,CNG,Individual,Manual,2,15.64
2012,25.86,82378,CNG,Dealer,Manual,1,21.82
2018,5.37,54433,Diesel,Individual,Manual,0,3.03
2006,27.13,179782,Diesel,Individual,Automatic,0,20.25
2016,4.22,46621,Petrol,Individual,Manual,1,1.59
2019,11.77,11762,Petrol,Dealer,Automatic,0,10.34
2003,19.09,177580,CNG,Dealer,Manual,0,11.62
2004,17.66,79370,Petrol,Dealer,Manual,1,12.02
2022,4.7,194403,Diesel,Individual,Automatic,2,0.88
2006,24.37,101089,Petrol,Individual,Manual,0,18.78
2012,29.25,21329,CNG,Individual,Manual,0,26.21
2014,7.07,94151,Diesel,Dealer,Manual,0,3.25
2010,27.06,185587,Petrol,Individual,Manual,0,20.91
2003,17.59,139759,Petrol,Dealer,Automatic,0,10.75
2012,28.21,191774,Petrol,Individual,Manual,1,22.37
2006,6.93,58217,Diesel,Individual,Automatic,0,2.05
2018,24.18,123667,Petrol,Individual,Manual,1,20.7
2021,3.67,56464,Diesel,Dealer,Manual,0,1.91
2001,26.73,96461,Petrol,Dealer,Manual,2,20.19
2009,20.88,100814,Petrol,Individual,Manual,0,15.92
2012,12.37,183126,Diesel,Individual,Manual,0,6.67
2024,7.33,109815,Diesel,Dealer,Automatic,0,5.31
2020,24.86,51901,Diesel,Dealer,Manual,0,22.97
2005,18.89,100624,CNG,Dealer,Automatic,0,13.1
2011,12.09,191182,Petrol,Individual,Automatic,0,6.05
2011,14.43,94067,Diesel,Individual,Manual,0,9.99
2019,25.14,126992,Petrol,Individual,Automatic,0,21.81
2010,11.49,161331,Diesel,Individual,Manual,0,5.74
2022,4.51,198228,Petrol,Dealer,Automatic,0,0.62
2024,27.52,114316,Diesel,Dealer,Manual,0,25.43
2006,12.85,81437,Petrol,Individual,Automatic,0,7.59
2000,11.75,159421,Diesel,Individual,Manual,0,3.96
2000,7.72,105276,Petrol,Individual,Manual,0,0.82
2024,27.13,152389,CNG,Individual,Automatic,2,24.41
2024,8.09,175417,Petrol,Individual,Manual,1,4.99
2019,19.83,170994,Petrol,Individual,Manual,0,15.77
2012,26.66,154529,Petrol,Individual,Automatic,0,21.43
2008,2.98,134602,Petrol,Dealer,Manual,0,0.5
2002,25.21,68669,Petrol,Dealer,Automatic,0,19.33
2006,13.5,7686,Petrol,Dealer,Manual,0,9.45
2005,20.42,60673,Petrol,Individual,Automatic,0,15.29
2007,12.43,160271,Petrol,Dealer,Automatic,0,6.07
2008,21.47,28575,Diesel,Dealer,Manual,0,17.49
2004,9.12,20335,Petrol,Individual,Automatic,0,4.45
2000,2.61,13460,Petrol,Individual,Manual,0,0.5
2018,28.54,72914,Diesel,Dealer,Automatic,0,25.89
2009,2.46,192621,Petrol,Individual,Manual,0,0.5
2011,25.07,181236,Petrol,Individual,Manual,0,19.19
2023,6.74,188483,Petrol,Individual,Manual,0,3.22
2014,12.98,108146,Petrol,Individual,Manual,0,8.93
2021,25.03,90037,Diesel,Dealer,Automatic,0,22.72
2023,7.77,193658,Petrol,Individual,Manual,0,4.17
2008,26.24,174710,Diesel,Individual,Manual,0,19.85
2019,15.94,163095,Diesel,Individual,Automatic,2,12.01
2016,12.25,91556,Petrol,Dealer,Automatic,1,8.88
2016,20.55,7066,Diesel,Dealer,Manual,2,18.58
2019,11.56,69080,Diesel,Individual,Manual,0,9.18
2011,11.72,164675,Petrol,Individual,Manual,0,6.12
2006,22.54,60229,Diesel,Individual,Manual,0,17.63
2001,10.68,188471,Petrol,Dealer,Manual,0,2.62
2002,7.62,78948,Diesel,Individual,Manual,2,1.57
2016,24.61,52391,Petrol,Dealer,Automatic,0,21.89
2004,24.55,127413,Petrol,Dealer,Manual,0,18.12
2016,15.93,160216,Petrol,Dealer,Automatic,0,11.43
2023,16.75,156876,Diesel,Individual,Manual,0,13.75
2016,21.49,48959,Petrol,Individual,Manual,0,18.83
2016,16.26,159234,Petrol,Individual,Manual,0,11.78
2001,13.68,55592,Diesel,Dealer,Automatic,1,7.81
2001,29.86,123806,CNG,Dealer,Automatic,0,22.87
2021,6.13,36181,Diesel,Individual,Manual,0,4.71
2022,18.6,23810,Petrol,Dealer,Automatic,0,17.59
2004,26.8,63977,Petrol,Individual,Automatic,0,21.41
2000,21.24,61963,Petrol,Individual,Manual,0,15.06
2000,26.67,83272,Petrol,Individual,Manual,0,20.14
2018,11.42,22025,Petrol,Dealer,Manual,1,9.61
2001,9.62,9793,Diesel,Dealer,Automatic,0,4.5
2020,25.84,108240,Petrol,Dealer,Manual,0,23.02
2011,13.04,74659,Diesel,Individual,Manual,0,8.92
2005,21.87,142888,CNG,Dealer,Manual,0,15.39
2022,6.14,192670,Petrol,Dealer,Manual,0,2.35
2003,23.16,8667,Petrol,Individual,Automatic,0,18.48
2022,17.37,191230,CNG,Dealer,Manual,0,13.6
2010,9.52,106150,Diesel,Dealer,Manual,1,4.67
2023,15.85,70526,Petrol,Dealer,Automatic,0,14.28
2016,21.51,71554,CNG,Individual,Automatic,0,18.47
2005,2.33,30132,Petrol,Individual,Manual,0,0.5
2023,19.85,133217,Petrol,Dealer,Automatic,0,17.24
2004,17.16,113850,Diesel,Individual,Manual,0,10.95
2019,8.17,177846,Petrol,Individual,Manual,0,4.0
2001,23.08,194244,Petrol,Dealer,Manual,0,14.93
2005,10.5,59449,Petrol,Individual,Manual,0,5.39
2021,9.75,47894,Diesel,Dealer,Manual,0,8.14
2010,15.19,139564,Petrol,Individual,Automatic,0,9.79
2015,20.93,112575,Petrol,Individual,Manual,0,17.01
2015,28.01,72130,Diesel,Individual,Automatic,2,24.76
2000,5.96,138016,Petrol,Individual,Manual,0,0.5
2008,13.1,55707,Petrol,Individual,Manual,0,8.67
2005,3.88,13879,Diesel,Dealer,Manual,2,0.5
2015,23.24,146397,Petrol,Individual,Automatic,0,18.76
2002,14.54,177605,Diesel,Individual,Automatic,0,6.87
2019,21.79,131557,Petrol,Dealer,Manual,0,18.38
2003,11.02,182165,Petrol,Individual,Automatic,2,3.48
2018,25.64,42992,Diesel,Dealer,Manual,0,23.49
2002,16.98,131868,Petrol,Dealer,Manual,0,10.06
2018,28.42,85049,Diesel,Individual,Automatic,0,25.57
2019,4.21,80984,CNG,Individual,Manual,0,1.64
2006,16.4,71446,Petrol,Individual,Automatic,0,11.3
2019,23.46,16326,Petrol,Dealer,Manual,0,21.95
2008,18.8,10290,CNG,Individual,Automatic,0,15.12
2000,2.65,194210,Petrol,Dealer,Manual,0,0.5
2007,29.23,36101,Petrol,Dealer,Manual,0,24.92
2006,10.35,184004,Diesel,Dealer,Manual,0,3.4
2017,8.98,22717,Petrol,Individual,Manual,2,6.95
2007,15.6,86594,Diesel,Dealer,Automatic,0,10.46
2000,17.18,188019,Diesel,Dealer,Manual,1,8.92
2010,23.46,123950,Petrol,Dealer,Manual,0,18.32
2024,13.01,109440,Petrol,Individual,Manual,0,11.0
2024,14.32,111195,Petrol,Individual,Automatic,0,12.28
2017,16.98,181756,Diesel,Dealer,Manual,1,12.33
2022,13.04,103466,Petrol,Individual,Manual,0,10.72
2009,27.61,69080,Petrol,Dealer,Manual,0,23.17
2002,25.84,183679,Petrol,Dealer,Automatic,0,18.07
2006,14.74,65680,Petrol,Dealer,Manual,0,9.74
2015,2.01,129781,Petrol,Dealer,Manual,0,0.5
2015,27.23,198017,CNG,Individual,Manual,0,21.9
2024,5.48,105986,Petrol,Individual,Manual,0,3.53
2019,8.85,134083,Diesel,Dealer,Automatic,2,5.4
2016,6.27,92101,Diesel,Individual,Manual,0,2.89
2001,7.03,172678,CNG,Dealer,Automatic,0,0.5
2000,24.48,188401,Petrol,Dealer,Automatic,2,16.22
2015,18.23,195275,Petrol,Individual,Manual,0,12.95
2011,28.77,96279,Diesel,Individual,Manual,0,24.29
2004,8.48,25879,Diesel,Dealer,Manual,1,3.72
2004,15.6,65380,Diesel,Individual,Automatic,0,10.19
2022,29.37,166631,Petrol,Dealer,Automatic,0,26.01
2008,25.14,83367,Diesel,Dealer,Automatic,0,20.26
2008,22.4,13549,Diesel,Individual,Automatic,0,18.67
2002,7.29,50542,Petrol,Dealer,Automatic,0,1.71
2018,23.54,115838,Petrol,Individual,Manual,0,20.19
2015,11.73,63599,Diesel,Dealer,Automatic,0,8.62
2015,16.86,15277,Petrol,Dealer,Manual,1,14.54
2002,19.06,22062,Petrol,Individual,Manual,0,13.95
2019,19.06,20806,Diesel,Individual,Manual,0,17.48
2023,22.34,170480,Petrol,Dealer,Manual,0,19.12
2021,20.53,95165,Diesel,Individual,Manual,0,18.14
2023,3.91,29317,Diesel,Dealer,Manual,2,3.01
2000,14.81,157300,Petrol,Dealer,Automatic,0,7.06
2023,20.59,172822,Petrol,Dealer,Automatic,0,17.33
2019,10.29,87691,Petrol,Individual,Manual,0,7.61
2010,10.77,28076,Petrol,Dealer,Automatic,0,7.21
2016,5.49,178351,Petrol,Dealer,Manual,0,0.69
2007,13.72,186822,Diesel,Individual,Manual,1,6.93
2003,29.63,176075,Petrol,Dealer,Manual,0,22.19
2005,9.99,94488,Petrol,Dealer,Manual,1,4.3
2007,16.88,151384,Petrol,Individual,Automatic,0,10.67
2019,22.81,57705,Diesel,Individual,Manual,0,20.62
2002,2.38,52991,CNG,Dealer,Manual,0,0.5
2015,27.21,77367,Diesel,Individual,Manual,0,23.87
2024,12.82,119706,Petrol,Dealer,Manual,0,10.64
2002,26.34,50653,Petrol,Individual,Manual,0,20.76
2024,3.09,113454,Diesel,Dealer,Manual,0,1.01
2017,6.08,87228,Petrol,Individual,Manual,0,2.99
2013,11.03,15385,Diesel,Dealer,Manual,0,8.3
2017,11.67,60227,Diesel,Dealer,Automatic,2,9.03
2001,25.74,176099,Diesel,Dealer,Automatic,1,17.88
2021,2.31,10580,Petrol,Individual,Manual,0,1.31
2002,19.95,104664,Diesel,Dealer,Automatic,2,13.48
2015,5.68,63785,Diesel,Dealer,Manual,0,2.56
2008,25.05,38550,Diesel,Dealer,Manual,2,20.91
2003,23.8,150992,Diesel,Dealer,Manual,0,16.77
2000,16.0,12014,Diesel,Individual,Manual,0,10.64
2003,7.96,17050,CNG,Individual,Automatic,0,3.14
2000,19.77,38751,Petrol,Dealer,Automatic,0,13.97
2013,6.38,151110,Diesel,Dealer,Manual,0,1.41
2020,7.32,95905,Petrol,Dealer,Manual,1,4.71
2015,19.55,187448,Petrol,Dealer,Automatic,0,14.4
2019,29.75,14973,Petrol,Individual,Automatic,2,28.26
2023,26.95,5771,Petrol,Individual,Manual,0,26.44
2007,18.61,132222,Petrol,Dealer,Automatic,0,12.72
2006,17.08,151560,Diesel,Individual,Manual,0,10.66
2002,29.95,46548,Petrol,Individual,Automatic,0,24.44
2016,17.33,22097,Diesel,Individual,Manual,0,15.11
2000,13.76,47064,CNG,Dealer,Manual,0,7.82
2015,27.47,182364,Petrol,Individual,Automatic,0,22.4
2011,8.56,106482,Petrol,Dealer,Manual,0,3.92
2018,4.73,122384,Petrol,Individual,Manual,0,1.27
2021,19.75,176102,CNG,Individual,Manual,0,16.02
2022,4.68,40938,Diesel,Individual,Manual,0,3.39
2021,12.45,163384,Petrol,Individual,Manual,1,8.93
2013,13.86,54199,Petrol,Dealer,Manual,0,10.49
2005,17.33,52279,Petrol,Dealer,Manual,0,12.34
2005,29.77,79126,Diesel,Individual,Manual,0,24.34
2012,8.19,162740,Petrol,Dealer,Manual,1,2.83
2018,12.52,120969,Diesel,Dealer,Manual,0,9.08
2021,5.7,158913,Diesel,Individual,Manual,0,2.26
2007,19.01,42029,Petrol,Dealer,Manual,0,14.6
2001,22.37,90506,Petrol,Individual,Automatic,0,15.92
2020,15.5,117345,Diesel,Individual,Automatic,0,12.53
2000,8.88,128360,Petrol,Individual,Manual,1,1.6
2014,19.38,141048,Diesel,Individual,Manual,0,14.79
2000,17.1,43359,Petrol,Individual,Manual,0,11.22
2004,6.79,173634,Petrol,Dealer,Automatic,0,0.5
2015,13.36,163304,Petrol,Dealer,Manual,0,8.61
2018,14.19,97931,Petrol,Dealer,Automatic,1,11.13
2003,29.51,69170,Diesel,Dealer,Manual,0,23.83
2002,25.78,103540,CNG,Dealer,Automatic,0,19.33
2016,22.56,107076,Diesel,Individual,Automatic,1,18.94
2016,26.89,186040,Petrol,Dealer,Automatic,1,21.97
2011,22.59,56135,Diesel,Dealer,Manual,0,18.78
2013,27.3,79259,Petrol,Dealer,Manual,0,23.52
2020,3.53,66404,Petrol,Dealer,Manual,0,1.4
2005,14.77,90844,Diesel,Individual,Manual,0,9.14
2002,22.91,46644,Diesel,Dealer,Automatic,0,17.39
2008,18.33,40472,Petrol,Dealer,Manual,0,14.15
2004,6.9,30153,Petrol,Individual,Manual,1,2.07
2023,11.53,116841,Diesel,Individual,Manual,0,9.19
2016,10.9,73017,Diesel,Individual,Manual,0,7.84
2013,9.32,163149,Petrol,Dealer,Manual,0,4.15
2020,11.61,168608,Petrol,Individual,Automatic,1,7.8
2002,16.42,50697,Petrol,Dealer,Manual,1,10.84
2000,25.94,197253,Diesel,Dealer,Automatic,0,17.53
2019,22.78,42290,Petrol,Dealer,Manual,2,20.84
2020,25.39,92440,Diesel,Dealer,Manual,0,22.83
2022,26.74,124955,Petrol,Dealer,Manual,1,24.06
2000,13.65,99643,Petrol,Dealer,Automatic,0,6.85
2002,11.69,139734,Petrol,Dealer,Manual,0,4.64
2017,3.61,7329,Petrol,Dealer,Manual,2,1.84
2024,28.05,34080,Petrol,Dealer,Manual,0,27.28
2009,3.84,160038,Petrol,Dealer,Automatic,0,0.5
2021,22.75,155429,Petrol,Dealer,Manual,0,19.36
2002,12.59,81144,Diesel,Individual,Manual,0,6.51
2007,28.57,134417,Petrol,Dealer,Manual,0,22.64
2013,13.75,78125,CNG,Individual,Manual,0,9.99
2023,24.87,8707,Petrol,Individual,Manual,1,24.31
2017,9.91,57321,Petrol,Individual,Manual,0,7.31
2014,10.37,37667,Petrol,Individual,Manual,2,7.48
2021,18.67,159995,Diesel,Individual,Manual,0,15.21
2022,29.94,167788,Petrol,Individual,Manual,0,26.56
2001,16.49,112671,Diesel,Individual,Automatic,0,9.68
2009,28.22,25380,Petrol,Dealer,Manual,0,24.5
2001,24.01,135128,Petrol,Dealer,Automatic,0,16.83
2016,24.28,125678,Petrol,Individual,Manual,1,20.35
2007,14.21,144223,Petrol,Dealer,Automatic,0,8.12
2000,12.82,51096,Petrol,Individual,Manual,1,6.82
2008,7.37,141804,Petrol,Individual,Automatic,0,1.52
2010,28.99,145357,Diesel,Individual,Manual,0,23.5
2021,28.86,189831,Petrol,Dealer,Automatic,0,24.91
2015,22.92,134855,Petrol,Dealer,Automatic,0,18.63
2006,10.3,77553,Diesel,Dealer,Manual,0,5.1
2009,8.87,199797,Petrol,Dealer,Manual,1,2.28
2022,29.68,84928,Petrol,Individual,Manual,0,27.66
2002,3.86,123163,Petrol,Dealer,Automatic,2,0.5
2017,25.62,26933,Petrol,Individual,Manual,0,23.52
2024,11.95,81929,Petrol,Dealer,Manual,0,10.39
2023,13.73,112112,Diesel,Dealer,Manual,0,11.47
2012,25.3,15833,Petrol,Individual,Manual,0,22.36
2006,4.54,17337,Petrol,Individual,Automatic,0,0.5
2024,11.92,54621,Petrol,Individual,Manual,2,10.81
2003,28.66,38576,Petrol,Individual,Manual,0,23.48
2012,21.57,60780,CNG,Individual,Manual,0,17.88
2019,23.14,180961,Petrol,Individual,Automatic,0,18.92
2000,23.21,41337,Diesel,Individual,Manual,0,17.37
2007,3.7,126163,Petrol,Individual,Manual,0,0.5
2013,7.69,189464,Diesel,Individual,Automatic,0,2.09
2015,15.76,5205,Diesel,Dealer,Automatic,0,13.61
2013,12.31,59153,Petrol,Individual,Manual,1,8.86
2011,13.51,142305,Diesel,Dealer,Automatic,0,8.28
2018,23.88,31482,Diesel,Individual,Manual,0,21.92
2022,2.41,133450,Petrol,Dealer,Manual,0,0.5
2014,20.49,70705,Diesel,Individual,Manual,0,17.05
2001,2.0,190581,Petrol,Individual,Automatic,0,0.5
2001,3.77,64854,Diesel,Individual,Manual,0,0.5
2022,13.43,100397,Petrol,Dealer,Manual,0,11.16
2021,25.55,118293,Diesel,Dealer,Automatic,0,22.78
2018,6.06,185643,Diesel,Dealer,Manual,1,1.56
2024,17.53,103700,Petrol,Individual,Manual,0,15.62
2021,21.0,16450,Diesel,Individual,Manual,0,19.9
2021,8.43,133666,Petrol,Individual,Automatic,0,5.4
2016,16.35,28815,Diesel,Individual,Manual,0,14.02
2019,27.52,149470,Petrol,Individual,Manual,0,23.82
2009,16.34,59504,Petrol,Individual,Manual,2,12.06
2005,6.41,171196,Diesel,Individual,Manual,0,0.5
2014,19.58,165458,Diesel,Individual,Manual,0,14.58
2021,18.58,183308,Petrol,Individual,Manual,1,14.73
2010,2.75,125452,Diesel,Individual,Manual,0,0.5
2004,4.54,135520,Petrol,Dealer,Manual,2,0.5
2000,6.39,199385,CNG,Dealer,Automatic,0,0.5
2007,5.82,19070,Diesel,Individual,Manual,0,1.79
2020,9.27,189057,Petrol,Dealer,Manual,0,5.12
2011,14.71,152186,Petrol,Dealer,Automatic,1,9.31
2011,12.41,13471,Diesel,Dealer,Manual,0,9.3
2004,26.94,72530,Petrol,Dealer,Manual,0,21.41
2006,19.14,55893,CNG,Individual,Manual,0,14.3
2003,26.53,107697,Petrol,Individual,Manual,1,20.21
2005,16.76,198672,Diesel,Individual,Manual,0,9.36
2012,4.52,79175,Petrol,Dealer,Automatic,0,0.53
2019,14.97,191564,Petrol,Individual,Manual,0,10.58
2014,25.02,187137,CNG,Dealer,Automatic,0,19.67
2002,7.43,32738,Diesel,Individual,Automatic,0,2.14
2022,4.55,197394,Petrol,Individual,Manual,0,0.68
2007,11.22,53776,Diesel,Individual,Manual,0,6.62
2019,12.89,76740,Petrol,Dealer,Manual,0,10.39
2015,10.58,177882,Diesel,Dealer,Manual,0,5.58
2012,5.79,185295,Petrol,Individual,Manual,0,0.5
2017,9.02,38219,Petrol,Dealer,Manual,0,6.74
2009,21.1,74400,Petrol,Dealer,Manual,0,16.57
2018,12.81,93887,Petrol,Dealer,Manual,1,9.82
2016,19.71,189602,Petrol,Individual,Manual,0,14.73
2023,17.02,30750,Diesel,Individual,Manual,0,16.1
2018,17.37,155567,Diesel,Individual,Manual,2,13.36
2022,8.96,17658,Petrol,Individual,Manual,0,8.05
2004,16.6,15232,Petrol,Individual,Automatic,0,12.01
2020,2.66,83300,Diesel,Individual,Manual,0,0.5
2022,14.09,9153,Diesel,Individual,Manual,0,13.32
2008,18.03,40363,Petrol,Individual,Automatic,0,13.86
2011,7.1,36996,Petrol,Dealer,Manual,0,3.6
2020,9.18,13905,Petrol,Individual,Manual,0,7.92
2000,8.15,52519,Diesel,Individual,Manual,0,2.12
2000,3.98,81014,Diesel,Individual,Manual,0,0.5
